area,rooms_num,district_encoded,avg_area_per_room,district_mean_price,area_bin,price
2.6515013429520433,0.0,1534,2.6515013429520433,-0.33778060898474377,2,27000.0
2.028932059804494,0.0,1534,2.028932059804494,-0.33778060898474377,2,29000.0
2.114803685066225,0.0,1769,2.114803685066225,-0.7667325848908242,2,30000.0
0.09682049141554866,0.0,327,0.09682049141554866,0.1414427519469634,2,23500.0
0.7623255871939632,0.0,1810,0.7623255871939632,-0.6923060600430353,2,17000.0
-0.48281297910113496,0.0,1810,-0.48281297910113496,-0.6923060600430353,2,16000.0
0.6821778932211164,0.0,1896,0.6821778932211164,0.3478872656716822,2,21000.0
1.492234401918676,0.0,327,1.492234401918676,0.1414427519469634,2,24800.0
0.5047107114087704,0.0,327,0.5047107114087704,0.1414427519469634,2,25506.06
0.5047107114087704,0.0,1615,0.5047107114087704,-0.5272674090732115,2,22500.0
-0.46134507278570225,0.0,327,-0.46134507278570225,0.1414427519469634,2,22000.0
1.019940462979156,0.0,327,1.019940462979156,0.1414427519469634,2,20000.0
0.5047107114087704,0.0,862,0.5047107114087704,-0.5194456672547971,2,22000.0
0.2685637419390105,0.0,1896,0.2685637419390105,0.3478872656716822,2,117405.7955109426
1.320491151395214,0.0,2269,1.320491151395214,-0.4174662870209191,2,22600.0
0.05388467878468321,0.0,897,0.05388467878468321,-0.741756692577179,2,15700.0
-0.7833636675171931,0.0,897,-0.7833636675171931,-0.741756692577179,1,12500.0
-0.7833636675171931,0.0,897,-0.7833636675171931,-0.741756692577179,1,6600.0
-0.7618957612017604,0.0,889,-0.7618957612017604,-0.7936959493318189,1,6588.0
0.6821778932211164,0.0,327,0.6821778932211164,0.1414427519469634,2,117405.7955109426
1.642509746126705,0.0,327,1.642509746126705,0.1414427519469634,2,117405.7955109426
2.050399966119927,0.0,327,2.050399966119927,0.1414427519469634,2,29252.73
1.4278306829723777,0.0,1896,1.4278306829723777,0.3478872656716822,2,37658.29
0.6821778932211164,0.0,2292,0.6821778932211164,-0.7559577438873497,2,6000.0
2.1577394976970905,0.0,2292,2.1577394976970905,-0.7559577438873497,2,23000.0
-1.255657606456713,0.0,2292,-1.255657606456713,-0.7559577438873497,1,9800.0
-0.5901525106782985,0.0,897,-0.5901525106782985,-0.741756692577179,1,18000.0
-0.2037301970005095,0.0,2125,-0.2037301970005095,-0.26902656872679354,2,23900.0
-0.869235292778924,0.0,2292,-0.869235292778924,-0.7559577438873497,1,13500.0
-0.9980427306715204,0.0,897,-0.9980427306715204,-0.741756692577179,1,16500.0
-1.019510636986953,0.0,2292,-1.019510636986953,-0.7559577438873497,1,11547.0
-0.5472166980474331,0.0,2292,-0.5472166980474331,-0.7559577438873497,2,21396.0
-0.9121711054097895,0.0,897,-0.9121711054097895,-0.741756692577179,1,14000.0
-0.2896018222622404,0.0,897,-0.2896018222622404,-0.741756692577179,2,16800.0
-0.9980427306715204,0.0,897,-0.9980427306715204,-0.741756692577179,1,12759.0
0.6821778932211164,0.0,2125,0.6821778932211164,-0.26902656872679354,2,20000.0
-0.9121711054097895,0.0,2292,-0.9121711054097895,-0.7559577438873497,1,12831.0
0.6821778932211164,0.0,2336,0.6821778932211164,-0.942268707138362,2,9500.0
-0.7404278548863277,0.0,1895,-0.7404278548863277,-0.9163898294843887,1,9750.0
-1.3629971380338768,0.0,1459,-1.3629971380338768,-0.9864778088443387,1,7400.0
-0.9121711054097895,0.0,2271,-0.9121711054097895,-0.7709002252544261,1,7150.0
-0.13932647805421133,0.0,1895,-0.13932647805421133,-0.9163898294843887,2,8700.0
-0.5472166980474331,0.0,1895,-0.5472166980474331,-0.9163898294843887,2,8700.0
-0.39694135383940404,0.0,2271,-0.39694135383940404,-0.7709002252544261,2,7500.0
-1.0839143559332514,0.0,1459,-1.0839143559332514,-0.9864778088443387,1,7300.0
-0.9336390117252222,0.0,1771,-0.9336390117252222,-0.526839496037099,1,117405.7955109426
-0.8907031990943568,0.0,184,-0.8907031990943568,-1.0320287782805213,1,5500.0
0.39737117983160686,0.0,184,0.39737117983160686,-1.0320287782805213,2,5500.0
-0.3540055412085386,0.0,521,-0.3540055412085386,-0.5208558409233555,2,4800.0
-0.7404278548863277,0.0,932,-0.7404278548863277,-0.6703281901293613,1,6400.0
0.7623255871939632,0.0,184,0.7623255871939632,-1.0320287782805213,2,5500.0
-1.1697859811949822,0.0,521,-1.1697859811949822,-0.5208558409233555,1,5400.0
-0.9121711054097895,0.0,2336,-0.9121711054097895,-0.942268707138362,1,8600.0
-0.05345485279248042,0.0,346,-0.05345485279248042,-0.680759928442807,2,16000.0
-1.2985934190875785,0.0,1340,-1.2985934190875785,0.1367950052502803,1,39000.0
-0.2896018222622404,0.0,1334,-0.2896018222622404,-0.14608521895531265,2,40000.0
0.2685637419390105,0.0,372,0.2685637419390105,0.4272739656372201,2,60000.0
-1.1912538875104148,0.0,1459,-1.1912538875104148,-0.9864778088443387,1,6500.0
1.2990232450797814,0.0,2336,1.2990232450797814,-0.942268707138362,2,7000.0
-1.019510636986953,0.0,1715,-1.019510636986953,-0.9615677700534871,1,8300.0
0.07535258510011594,0.0,1760,0.07535258510011594,-0.011380350285982598,2,45000.0
1.6210418398112723,0.0,1340,1.6210418398112723,0.1367950052502803,2,45000.0
0.6821778932211164,0.0,1384,0.6821778932211164,-0.5268855207705339,2,23000.0
0.24709583562357776,0.0,41,0.24709583562357776,2.446645565020652,2,117405.7955109426
-1.2127217938258477,0.0,1340,-1.2127217938258477,0.1367950052502803,1,42000.0
-1.6635478264499348,0.0,1936,-1.6635478264499348,-0.52626380599206,1,17500.0
-0.718959948570895,0.0,1223,-0.718959948570895,-0.8159828927608651,1,12000.0
-1.3629971380338768,0.0,372,-1.3629971380338768,0.4272739656372201,1,38000.0
-0.22519810331594223,0.0,1533,-0.22519810331594223,-0.5294759990141749,2,22000.0
2.265079029274254,0.0,1340,2.265079029274254,0.1367950052502803,2,55000.0
-0.6545562296245968,0.0,1936,-0.6545562296245968,-0.52626380599206,1,18600.0
0.6821778932211164,0.0,2105,0.6821778932211164,-0.9543144309712924,2,8000.0
0.6821778932211164,0.0,141,0.6821778932211164,-1.0318992543683394,2,5000.0
0.6821778932211164,0.0,2104,0.6821778932211164,-0.9755563525691483,2,11000.0
-0.3110697285776731,0.0,1134,-0.3110697285776731,-0.17324020107852012,2,5600.0
-1.019510636986953,0.0,141,-1.019510636986953,-1.0318992543683394,1,7100.0
0.6821778932211164,0.0,141,0.6821778932211164,-1.0318992543683394,2,4500.0
0.2685637419390105,0.0,372,0.2685637419390105,0.4272739656372201,2,61000.0
-1.3844650443493094,0.0,1334,-1.3844650443493094,-0.14608521895531265,1,26000.0
-0.5257487917320004,0.0,1936,-0.5257487917320004,-0.52626380599206,2,20500.0
-0.031986946477047695,0.0,346,-0.031986946477047695,-0.680759928442807,2,16000.0
2.587097624005745,0.0,372,2.587097624005745,0.4272739656372201,2,57000.0
0.22562792930814501,0.0,1134,0.22562792930814501,-0.17324020107852012,2,5900.0
-1.3200613254030114,0.0,141,-1.3200613254030114,-1.0318992543683394,1,6500.0
-0.39694135383940404,0.0,1134,-0.39694135383940404,-0.17324020107852012,2,3600.0
0.2685637419390105,0.0,1134,0.2685637419390105,-0.17324020107852012,2,117405.7955109426
-0.6545562296245968,0.0,141,-0.6545562296245968,-1.0318992543683394,1,5500.0
1.9859962471736285,0.0,141,1.9859962471736285,-1.0318992543683394,2,6300.0
-0.7404278548863277,0.0,141,-0.7404278548863277,-1.0318992543683394,1,4500.0
-0.5901525106782985,0.0,141,-0.5901525106782985,-1.0318992543683394,1,4900.0
-0.16079438436964405,0.0,141,-0.16079438436964405,-1.0318992543683394,2,5400.0
0.6821778932211164,0.0,141,0.6821778932211164,-1.0318992543683394,2,5200.0
-0.6974920422554622,0.0,2104,-0.6974920422554622,-0.9755563525691483,1,6900.0
0.3759032735161741,0.0,2245,0.3759032735161741,-0.4447197171159966,2,8500.0
0.6821778932211164,0.0,2153,0.6821778932211164,-0.918047735560319,2,15000.0
-2.7154752359061387,0.0,116,-2.7154752359061387,-1.0306965323266488,0,4300.0
-0.8477673864634913,0.0,2247,-0.8477673864634913,-0.980861652012125,1,6500.0
0.5261786177242032,0.0,791,0.5261786177242032,0.08329202480561144,2,17000.0
-0.16079438436964405,0.0,791,-0.16079438436964405,0.08329202480561144,2,13000.0
0.6821778932211164,0.0,791,0.6821778932211164,0.08329202480561144,2,117405.7955109426
-0.8477673864634913,0.0,791,-0.8477673864634913,0.08329202480561144,1,9000.0
0.6821778932211164,0.0,791,0.6821778932211164,0.08329202480561144,2,11500.0
-1.255657606456713,0.0,2104,-1.255657606456713,-0.9755563525691483,1,6600.0
1.4492985892878105,0.0,2104,1.4492985892878105,-0.9755563525691483,2,8000.0
